,aliceleaves,allensua,apexclimber,ask5566,badkidxd,best5566,conshelity,ej2000,funnyrain,gggg9999,kingchang711,lordwen,mahoro,omegawind,phantasm,playlemon,plice,recx,remora,sheagia,simata,sofaly,superjim,urdie,vonannes,waijr,wangakechi,wangyc,webster1112,wegoyusheng,whaleegg,wl760713,yankeehater,zaknafein
aliceleaves,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
allensua,0.00E+00,1.00E+00,1.20E-02,6.83E-03,1.19E-02,1.02E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.63E-02,1.55E-02,0.00E+00,1.72E-02,0.00E+00,0.00E+00,2.40E-02,6.87E-03,2.43E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E-02,0.00E+00,6.86E-03,3.85E-02,0.00E+00,1.66E-02
apexclimber,0.00E+00,1.20E-02,1.00E+00,1.40E-02,0.00E+00,1.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.05E-03,9.02E-03,1.69E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.97E-03,0.00E+00,3.93E-02,0.00E+00,0.00E+00,9.27E-03,0.00E+00,3.07E-02,0.00E+00,0.00E+00,0.00E+00
ask5566,0.00E+00,6.83E-03,1.40E-02,1.00E+00,0.00E+00,3.21E-02,1.53E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.79E-03,0.00E+00,0.00E+00,0.00E+00,1.31E-02,6.09E-03,8.21E-03,0.00E+00,8.28E-03,0.00E+00,8.27E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.25E-03,8.32E-03,1.17E-02,0.00E+00,0.00E+00,0.00E+00
badkidxd,0.00E+00,1.19E-02,0.00E+00,0.00E+00,1.00E+00,8.30E-03,1.65E-02,0.00E+00,1.36E-02,0.00E+00,0.00E+00,1.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.17E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
best5566,0.00E+00,1.02E-02,1.54E-02,3.21E-02,8.30E-03,1.00E+00,8.39E-03,3.13E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-02,7.13E-03,0.00E+00,0.00E+00,2.38E-02,0.00E+00,0.00E+00,2.80E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.46E-03,0.00E+00,1.28E-02,1.61E-02,8.41E-03,1.68E-02,0.00E+00,0.00E+00,0.00E+00
conshelity,0.00E+00,0.00E+00,0.00E+00,1.53E-02,1.65E-02,8.39E-03,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.37E-02,0.00E+00,0.00E+00,1.67E-02,0.00E+00,0.00E+00,8.23E-03,1.68E-02,1.66E-02,0.00E+00,0.00E+00,0.00E+00,1.68E-02,0.00E+00,1.76E-02,1.85E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ej2000,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.13E-02,0.00E+00,1.00E+00,0.00E+00,3.46E-02,0.00E+00,0.00E+00,0.00E+00,8.44E-03,0.00E+00,0.00E+00,8.34E-03,1.54E-02,2.15E-02,1.80E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-02,6.74E-03,8.36E-03,0.00E+00,0.00E+00,1.70E-02,0.00E+00
funnyrain,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E-02,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-02,0.00E+00,0.00E+00,2.80E-02,0.00E+00
gggg9999,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.46E-02,0.00E+00,1.00E+00,0.00E+00,4.46E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
kingchang711,0.00E+00,1.63E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.14E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.14E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
lordwen,0.00E+00,1.55E-02,9.05E-03,0.00E+00,1.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.46E-02,0.00E+00,1.00E+00,0.00E+00,0.00E+00,2.03E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-02,0.00E+00,0.00E+00,0.00E+00,9.12E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
mahoro,0.00E+00,0.00E+00,9.02E-03,0.00E+00,0.00E+00,1.08E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.97E-02,0.00E+00,2.16E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
omegawind,0.00E+00,1.72E-02,1.69E-02,4.79E-03,0.00E+00,7.13E-03,3.37E-02,8.44E-03,0.00E+00,0.00E+00,1.14E-02,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,3.63E-02,1.70E-02,0.00E+00,0.00E+00,2.52E-02,0.00E+00,8.39E-03,0.00E+00,1.70E-02,0.00E+00,0.00E+00,6.81E-03,2.30E-02,2.17E-02,0.00E+00,1.72E-02,1.16E-02
phantasm,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E-02,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.57E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.13E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.65E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
playlemon,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,3.74E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
plice,0.00E+00,2.40E-02,0.00E+00,0.00E+00,0.00E+00,2.38E-02,1.67E-02,8.34E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E-02,0.00E+00,1.00E+00,7.02E-03,0.00E+00,8.22E-03,1.68E-02,6.98E-03,0.00E+00,1.66E-02,0.00E+00,1.55E-02,0.00E+00,0.00E+00,9.27E-03,0.00E+00,1.67E-02,0.00E+00,0.00E+00,0.00E+00
recx,0.00E+00,6.87E-03,0.00E+00,1.31E-02,1.65E-02,0.00E+00,0.00E+00,1.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.63E-02,0.00E+00,0.00E+00,7.02E-03,1.00E+00,6.13E-03,8.25E-03,0.00E+00,8.33E-03,0.00E+00,0.00E+00,0.00E+00,1.55E-02,1.19E-02,0.00E+00,1.61E-02,2.28E-02,1.31E-02,0.00E+00,0.00E+00,0.00E+00
remora,0.00E+00,2.43E-02,1.07E-02,6.09E-03,0.00E+00,0.00E+00,0.00E+00,2.15E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E-02,0.00E+00,0.00E+00,0.00E+00,6.13E-03,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.15E-02,6.11E-03,0.00E+00,0.00E+00,0.00E+00
sheagia,0.00E+00,0.00E+00,0.00E+00,8.21E-03,0.00E+00,2.80E-02,8.23E-03,1.80E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.74E-02,8.22E-03,8.25E-03,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.06E-02,0.00E+00,0.00E+00,1.96E-02,0.00E+00,0.00E+00,0.00E+00
simata,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E-02,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sofaly,0.00E+00,0.00E+00,0.00E+00,8.28E-03,0.00E+00,0.00E+00,1.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-02,0.00E+00,2.52E-02,3.13E-02,0.00E+00,6.98E-03,8.33E-03,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,8.26E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.66E-02,0.00E+00,0.00E+00,0.00E+00,2.29E-02
superjim,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.25E-02,0.00E+00,0.00E+00
urdie,0.00E+00,0.00E+00,6.97E-03,8.27E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.97E-02,8.39E-03,0.00E+00,0.00E+00,1.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.26E-03,0.00E+00,1.00E+00,0.00E+00,1.67E-02,0.00E+00,1.75E-02,0.00E+00,2.49E-02,8.30E-03,0.00E+00,0.00E+00,0.00E+00
vonannes,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
waijr,0.00E+00,0.00E+00,3.93E-02,0.00E+00,0.00E+00,8.46E-03,1.68E-02,0.00E+00,0.00E+00,0.00E+00,1.14E-02,9.12E-03,2.16E-02,1.70E-02,0.00E+00,0.00E+00,1.55E-02,1.55E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E-02,0.00E+00,1.00E+00,4.44E-02,0.00E+00,9.35E-03,1.45E-02,7.06E-03,0.00E+00,0.00E+00,8.41E-03
wangakechi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.65E-02,0.00E+00,0.00E+00,1.19E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.44E-02,1.00E+00,2.10E-02,2.42E-02,2.05E-02,1.18E-02,0.00E+00,0.00E+00,1.18E-02
wangyc,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-02,1.76E-02,1.28E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.06E-02,0.00E+00,0.00E+00,0.00E+00,1.75E-02,0.00E+00,0.00E+00,2.10E-02,1.00E+00,3.06E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
webster1112,0.00E+00,1.34E-02,9.27E-03,9.25E-03,9.17E-03,1.61E-02,1.85E-02,6.74E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.81E-03,0.00E+00,0.00E+00,9.27E-03,1.61E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.35E-03,2.42E-02,3.06E-02,1.00E+00,6.75E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
wegoyusheng,0.00E+00,0.00E+00,0.00E+00,8.32E-03,0.00E+00,8.41E-03,0.00E+00,8.36E-03,1.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E-02,0.00E+00,0.00E+00,0.00E+00,2.28E-02,2.15E-02,0.00E+00,0.00E+00,1.66E-02,0.00E+00,2.49E-02,0.00E+00,1.45E-02,2.05E-02,0.00E+00,6.75E-03,1.00E+00,0.00E+00,0.00E+00,0.00E+00,8.36E-03
whaleegg,0.00E+00,6.86E-03,3.07E-02,1.17E-02,0.00E+00,1.68E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.17E-02,0.00E+00,0.00E+00,1.67E-02,1.31E-02,6.11E-03,1.96E-02,0.00E+00,0.00E+00,0.00E+00,8.30E-03,0.00E+00,7.06E-03,1.18E-02,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.67E-02,0.00E+00,0.00E+00
wl760713,0.00E+00,3.85E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.67E-02,1.00E+00,0.00E+00,0.00E+00
yankeehater,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E-02,2.80E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.72E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.34E-02
zaknafein,0.00E+00,1.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.29E-02,0.00E+00,0.00E+00,0.00E+00,8.41E-03,1.18E-02,0.00E+00,0.00E+00,8.36E-03,0.00E+00,0.00E+00,2.34E-02,1.00E+00
